INFP,INFP,4
INFP,ENFP,4
INFP,INFJ,4
INFP,ENFJ,5
INFP,INTJ,4
INFP,ENTJ,5
INFP,INTP,4
INFP,ENTP,4
INFP,ISFP,1
INFP,ESFP,1
INFP,ISTP,1
INFP,ESTP,1
INFP,ISFJ,1
INFP,ESFJ,1
INFP,ISTJ,1
INFP,ESTJ,1
ENFP,INFP,4
ENFP,ENFP,4
ENFP,INFJ,5
ENFP,ENFJ,4
ENFP,INTJ,5
ENFP,ENTJ,4
ENFP,INTP,4
ENFP,ENTP,4
ENFP,ISFP,1
ENFP,ESFP,1
ENFP,ISTP,1
ENFP,ESTP,1
ENFP,ISFJ,1
ENFP,ESFJ,1
ENFP,ISTJ,1
ENFP,ESTJ,1
INFJ,INFP,4
INFJ,ENFP,5
INFJ,INFJ,4
INFJ,ENFJ,4
INFJ,INTJ,4
INFJ,ENTJ,4
INFJ,INTP,4
INFJ,ENTP,5
INFJ,ISFP,1
INFJ,ESFP,1
INFJ,ISTP,1
INFJ,ESTP,1
INFJ,ISFJ,1
INFJ,ESFJ,1
INFJ,ISTJ,1
INFJ,ESTJ,1
ENFJ,INFP,5
ENFJ,ENFP,4
ENFJ,INFJ,4
ENFJ,ENFJ,4
ENFJ,INTJ,4
ENFJ,ENTJ,4
ENFJ,INTP,4
ENFJ,ENTP,4
ENFJ,ISFP,5
ENFJ,ESFP,1
ENFJ,ISTP,1
ENFJ,ESTP,1
ENFJ,ISFJ,1
ENFJ,ESFJ,1
ENFJ,ISTJ,1
ENFJ,ESTJ,1
INTJ,INFP,4
INTJ,ENFP,5
INTJ,INFJ,4
INTJ,ENFJ,4
INTJ,INTJ,4
INTJ,ENTJ,4
INTJ,INTP,4
INTJ,ENTP,5
INTJ,ISFP,3
INTJ,ESFP,3
INTJ,ISTP,3
INTJ,ESTP,3
INTJ,ISFJ,2
INTJ,ESFJ,2
INTJ,ISTJ,2
INTJ,ESTJ,2
ENTJ,INFP,5
ENTJ,ENFP,4
ENTJ,INFJ,4
ENTJ,ENFJ,4
ENTJ,INTJ,4
ENTJ,ENTJ,4
ENTJ,INTP,5
ENTJ,ENTP,4
ENTJ,ISFP,3
ENTJ,ESFP,3
ENTJ,ISTP,3
ENTJ,ESTP,3
ENTJ,ISFJ,3
ENTJ,ESFJ,3
ENTJ,ISTJ,3
ENTJ,ESTJ,3
INTP,INFP,4
INTP,ENFP,4
INTP,INFJ,4
INTP,ENFJ,4
INTP,INTJ,4
INTP,ENTJ,5
INTP,INTP,4
INTP,ENTP,4
INTP,ISFP,3
INTP,ESFP,3
INTP,ISTP,3
INTP,ESTP,3
INTP,ISFJ,2
INTP,ESFJ,2
INTP,ISTJ,2
INTP,ESTJ,5
ENTP,INFP,4
ENTP,ENFP,4
ENTP,INFJ,5
ENTP,ENFJ,4
ENTP,INTJ,5
ENTP,ENTJ,4
ENTP,INTP,4
ENTP,ENTP,4
ENTP,ISFP,3
ENTP,ESFP,3
ENTP,ISTP,3
ENTP,ESTP,3
ENTP,ISFJ,2
ENTP,ESFJ,2
ENTP,ISTJ,2
